engagement_id,email_campaign_id,visitor_id,event_type,event_ts,linked_ad_campaign_id
9092ce02-9cf7-4863-899b-c419b52ebfa1,EML-3005,VIS-fdc5ae1d69,send,2026-07-06 10:04:21,CMP-1063
076ab141-879d-460a-85dc-f20ea5078ad4,EML-3002,VIS-daa013549e,send,2026-07-06 09:55:37,CMP-1005
811fa281-b800-46b7-862b-5ac84e0c6043,EML-3002,VIS-daa013549e,open,2026-07-06 00:33:19,CMP-1005
ba2365b5-c12b-4567-a3d7-65559c9a648a,EML-3002,VIS-bdde53462f,send,2026-07-06 07:31:16,CMP-1005
1d4fd7db-8549-476a-962c-02f40fd5ffd4,EML-3005,VIS-d62930a80b,send,2026-07-06 05:09:14,CMP-1063
86060c14-7af8-46af-a83f-0a350074af64,EML-3010,VIS-c951a3ca35,send,2026-07-06 08:54:49,
abfbb52e-c507-43bd-9716-00fd4f0138be,EML-3010,VIS-c951a3ca35,open,2026-07-06 12:19:59,
46fc2e91-9b20-4ac6-bc9b-bb5e3409da1a,EML-3001,VIS-1b3b0badc7,send,2026-07-06 17:08:20,
fc5dbe1f-1404-450d-b840-943d35240f8e,EML-3001,VIS-1b3b0badc7,open,2026-07-06 13:57:59,
e457c544-aefe-4825-8111-e7c50d38b9af,EML-3001,VIS-1b3b0badc7,click,2026-07-06 15:31:37,
faa502aa-631b-414d-9587-fbc9150214ec,EML-3010,VIS-d0acb1907f,send,2026-07-06 21:34:53,
08d9df7a-c13d-4ac5-932a-2a2bf89b98e1,EML-3008,VIS-52c7d5c13a,send,2026-07-06 22:26:21,
bef29533-e003-474d-9cfb-140b75adbf0a,EML-3008,VIS-52c7d5c13a,open,2026-07-06 07:12:51,
2329989c-acdc-4c9a-a2d5-e85dcaf8af36,EML-3009,VIS-4d91a39ea0,send,2026-07-06 02:51:35,CMP-1032
238f49f5-38e2-4a26-aebf-5e5b0443aea1,EML-3008,VIS-3174019172,send,2026-07-06 20:40:21,
225b61c4-9b3b-48b7-9b47-b1bb1afbed9b,EML-3008,VIS-da1b9bfdfd,send,2026-07-06 03:32:28,
9f3b5f51-f183-48fc-b33e-6325ce927fc7,EML-3008,VIS-e25d1b8915,send,2026-07-06 17:07:55,
c551f2d6-6823-4c49-b275-0dec8af0fa88,EML-3008,VIS-e25d1b8915,open,2026-07-06 22:27:43,
246566ac-aa84-4672-863c-b1960ba096a2,EML-3008,VIS-e25d1b8915,click,2026-07-06 13:13:58,
0794754c-0cff-4969-91ca-a0631f43ee38,EML-3006,VIS-d5cfb9ade9,send,2026-07-06 11:49:27,CMP-1017
addd87cb-37db-4919-83b7-21978582f6eb,EML-3006,VIS-d5cfb9ade9,open,2026-07-06 17:18:23,CMP-1017
adbeed04-74b8-41f1-b9a8-2cfb1b85a223,EML-3006,VIS-d5cfb9ade9,click,2026-07-06 17:25:37,CMP-1017
4b22d28c-c2e3-4da4-9f76-3bf21e226fbb,EML-3003,VIS-2519e205d7,send,2026-07-06 10:16:36,
8405d0a7-bd07-4c98-a0f1-33b71624d468,EML-3003,VIS-0faf4834a0,send,2026-07-06 18:29:37,
5f398aff-fdbb-4f3c-b492-61a8ef15e62e,EML-3002,VIS-86a01d8182,send,2026-07-06 11:51:52,CMP-1005
c05399ea-25d9-4350-ade9-30ad5c994cc7,EML-3002,VIS-86a01d8182,open,2026-07-06 10:59:59,CMP-1005
dfc86a8f-a4fc-4a0a-bf4f-930102e508bd,EML-3007,VIS-7048ac6dcd,send,2026-07-06 08:41:10,
219fa746-892f-486d-bedd-b299c9cac153,EML-3008,VIS-8d7d412b1f,send,2026-07-06 13:58:27,
c04e0f1b-c009-4765-93b6-337c706e1616,EML-3008,VIS-8d7d412b1f,open,2026-07-06 21:30:59,
b93efff7-9370-43d9-ac8d-d69bac1493b3,EML-3010,VIS-75a0c44c03,send,2026-07-06 12:27:32,
d68dc5e1-e08e-45b4-b449-b091aed87f81,EML-3010,VIS-75a0c44c03,open,2026-07-06 02:50:09,
9b09943b-50d3-47ad-a58e-3e6a04771fa6,EML-3008,VIS-92ec53a2e1,send,2026-07-06 04:09:44,
334a518a-71cb-4ca6-9939-4384c9fea911,EML-3009,VIS-c7f089232f,send,2026-07-06 03:33:19,CMP-1032
fb3de23a-ad6b-4705-b5ba-7f1422a98b4a,EML-3009,VIS-c7f089232f,open,2026-07-06 14:46:28,CMP-1032
7625ead6-4b38-4668-a322-1d18af0ac470,EML-3009,VIS-c7f089232f,click,2026-07-06 03:57:33,CMP-1032
66047c07-c826-46ef-9dbd-371b96cd69b7,EML-3010,VIS-2af5d5183b,send,2026-07-06 13:47:44,
62c07976-de9c-4845-b0be-0e8c673e592c,EML-3001,VIS-8b7885769a,send,2026-07-06 03:17:46,
92089d97-92d8-48bc-ba9a-a6fb1f8f0d0b,EML-3001,VIS-8b7885769a,open,2026-07-06 21:08:42,
214c7752-613e-4267-a36c-394c62caacd6,EML-3001,VIS-316380e72d,send,2026-07-06 05:20:31,
f65a2537-23e6-42cc-9a55-7736d3c40fe7,EML-3005,VIS-2cbff88509,send,2026-07-06 14:11:55,CMP-1063
c5c4c8ad-4ee0-4212-94c6-a49873bd0cdc,EML-3004,VIS-5720cbc1f2,send,2026-07-06 11:31:37,CMP-1031
fccd05dc-a679-4ff8-906e-edbf4cc10920,EML-3005,VIS-3ddcfe7a6c,send,2026-07-06 15:49:40,CMP-1063
e3032187-bc8b-417a-b32d-fbd9bea79314,EML-3002,VIS-f07b67c16e,send,2026-07-06 21:12:59,CMP-1005
baf1e5eb-d359-46c1-a30c-666996dfd73d,EML-3002,VIS-f07b67c16e,bounce,2026-07-06 18:35:02,CMP-1005
dc248a59-394d-41d6-864b-5e1c22f491f4,EML-3007,VIS-e78bac99b7,send,2026-07-06 04:38:38,
f2a3628c-8a92-4f63-ab1b-24090067143b,EML-3007,VIS-e78bac99b7,open,2026-07-06 19:59:03,
cf31a076-76d4-44d5-bc0a-9e9fe381b9e0,EML-3007,VIS-e78bac99b7,unsubscribe,2026-07-06 20:23:24,
1a958bf4-ffe6-49f4-9bb6-6b14663c1f48,EML-3006,VIS-7dcc9d968e,send,2026-07-06 03:59:38,CMP-1017
58517b75-291c-4b0c-84f7-5d7d457d5ccd,EML-3004,VIS-5316df25bd,send,2026-07-06 15:43:05,CMP-1031
f8c99c24-6d3d-4251-8828-66e41dd7bde5,EML-3004,VIS-5316df25bd,open,2026-07-06 11:34:57,CMP-1031
f12ee787-4e23-4999-a3fc-63d039774fdb,EML-3007,VIS-616461faec,send,2026-07-06 19:50:49,
9bef9397-2a0e-49fe-8823-ae6eb1be5a4c,EML-3007,VIS-616461faec,open,2026-07-06 05:03:48,
37370c81-3eeb-4092-9288-2ffba6624e81,EML-3007,VIS-616461faec,click,2026-07-06 14:00:09,
ee8c17fb-85ad-440e-bda8-0270bc162561,EML-3006,VIS-fdce304d5f,send,2026-07-06 15:11:27,CMP-1017
654be369-0eac-42b8-a1a8-43ba0167fd00,EML-3003,VIS-59d2ca41a5,send,2026-07-06 04:53:20,
8db86939-d21d-42f6-b9d0-02325a557756,EML-3003,VIS-59d2ca41a5,bounce,2026-07-06 23:36:25,
d0ae1a39-d89b-4e28-84f8-9f83d9b8f05e,EML-3001,VIS-8de5346ac2,send,2026-07-06 05:14:33,
cfdeda1e-2a36-41ee-af95-a7f0445b43d1,EML-3007,VIS-45dfad3e6e,send,2026-07-06 04:56:36,
a50cb02b-1654-453f-91bb-5f9bf99e6c41,EML-3007,VIS-be32dbb7a3,send,2026-07-06 16:36:12,
dcdd7c5c-a6a7-4980-9fd2-47e812b01fe3,EML-3007,VIS-fdd9283f1b,send,2026-07-06 22:41:30,
e29c5f29-7b27-4831-a5b3-786279e6d4ae,EML-3009,VIS-a83ad3fccd,send,2026-07-06 16:23:08,CMP-1032
5cf1e243-903e-4950-af77-89f62991df9c,EML-3009,VIS-a83ad3fccd,open,2026-07-06 15:27:55,CMP-1032
6b154c61-1acf-42cb-a47c-5b1b5f046073,EML-3004,VIS-c796b80eca,send,2026-07-06 18:16:02,CMP-1031
caee4ca9-e240-45fc-b136-3e2805fd68c3,EML-3010,VIS-08a9c66186,send,2026-07-06 13:21:39,
70aea815-4c51-4b83-ac80-d8c0896a4794,EML-3010,VIS-08a9c66186,bounce,2026-07-06 01:22:43,
520f3356-bb34-4906-9c78-70793ff0b8fe,EML-3010,VIS-3c3ba8d43c,send,2026-07-06 17:35:42,
f78c5487-f487-4d07-ae11-253c6da58b1d,EML-3010,VIS-3c3ba8d43c,open,2026-07-06 17:31:55,
c2e47739-3dbf-40bf-ad46-784fc3a17cae,EML-3009,VIS-7bcb502d9a,send,2026-07-06 10:10:24,CMP-1032
c44c2ae3-9d8b-4086-9a56-50f67febc145,EML-3009,VIS-7bcb502d9a,open,2026-07-06 22:12:43,CMP-1032
8ad22ae7-05e1-4fb4-9feb-f96206a98a2c,EML-3009,VIS-7bcb502d9a,click,2026-07-06 17:12:05,CMP-1032
4b0c80fb-86cb-40bc-9194-c6d1f4fa1046,EML-3002,VIS-cda3ed5fb1,send,2026-07-06 23:04:18,CMP-1005
a87161ff-ecfd-4ea8-8d7b-ef496bb2b77b,EML-3010,VIS-fbc7e00726,send,2026-07-06 01:55:17,
01fa685b-cf47-4a7f-9141-af3e9bbb27ef,EML-3001,VIS-953202f69d,send,2026-07-06 17:04:15,
8359caa7-ba4d-4af9-bdfb-8e36408d2a0a,EML-3010,VIS-2e0e388893,send,2026-07-06 12:04:12,
75a55de6-6e62-4c2a-9aa0-a6ec64eb7249,EML-3005,VIS-3eaabbf5d8,send,2026-07-06 10:31:47,CMP-1063
ce45afa2-61f8-4fae-bd06-b414a3e0fe8f,EML-3010,VIS-ab96324507,send,2026-07-06 11:04:15,
